Location,Land_Area,Floor_Area,Number_of_Floors,Number_of_Bedrooms,Number_of_Bathrooms,House_Type,Year_Built,Condition,Parking_Availability,Proximity_to_City_Center,Price
Suburban,1231.99,668.51,2,1,1,Apartment,1950,Old,1,10.56,1065235.97
Urban,4405.94,3799.66,1,7,4,Single-Family,2008,Good,1,7.06,3709647.02
Rural,2036.83,1052.02,1,2,1,Single-Family,1997,Renovated,0,49.78,1441324.1
Suburban,2743.24,1845.27,2,3,2,Multi-Family,1956,Old,1,16.67,2097356.19
Rural,3217.69,1676.09,1,3,2,Single-Family,1981,Renovated,0,44.45,2255535.47
Rural,3684.17,1982.88,2,3,2,Apartment,2010,Good,0,33.84,2472078.51
Urban,2799.77,2137.76,4,4,2,Single-Family,2006,Good,1,8.66,2322223.07
Rural,1852.68,1405.9,2,2,2,Single-Family,2000,Renovated,1,35.19,1539863.81
Urban,2718.99,1395.44,1,2,1,Apartment,1968,Old,1,4.31,1959637.08
Rural,2080.68,1041.28,1,2,1,Single-Family,1976,Renovated,1,44.75,1443453.75
Suburban,2749.01,1461.17,1,2,2,Apartment,2012,Good,1,17.01,2036009.29
Rural,4128.15,3323.98,2,6,4,Single-Family,2009,Good,1,48.74,3336780.02
Urban,3255.93,2389.3,2,4,2,Apartment,2010,Good,1,2.49,2719072.81
Urban,2706.65,1394.59,1,2,1,Multi-Family,2010,Good,1,8.02,2057751.95
Suburban,3238.49,2251.52,1,4,3,Single-Family,1994,Renovated,1,24.6,2541717.16
Rural,3310.08,2597.79,1,5,3,Multi-Family,1970,Old,1,44.01,2642636.38
Rural,1422.13,1205.37,1,2,2,Apartment,1993,Renovated,1,32.04,1235491.97
Suburban,2541.72,2220.48,2,4,3,Apartment,1950,Old,0,21.37,2178061.33
Rural,5062.53,3194.34,1,6,4,Multi-Family,1993,Renovated,0,40.5,3768575.74
Rural,3712.82,2058.14,1,4,2,Apartment,2011,Good,1,42.12,2669905.93
Urban,1996.56,1187.49,1,2,1,Apartment,2010,Good,0,6.99,1549064.2
Rural,1896.79,1537.29,2,3,1,Apartment,1999,Renovated,0,34.12,1539611.57
Rural,1863.47,1655.87,2,3,1,Apartment,1990,Renovated,1,40.21,1694119.2
Suburban,3366.32,2311.17,1,4,2,Apartment,1982,Renovated,0,12.54,2611082.63
Suburban,4107.64,2555.53,1,5,3,Apartment,1961,Old,1,17.75,3022500.38
Urban,3082.17,2070.22,1,4,2,Apartment,1951,Old,1,0.22,2448835.84
Rural,2657.16,1652.55,1,3,2,Apartment,1970,Old,0,55.06,1933171.29
Rural,2055.84,1238.84,1,2,1,Multi-Family,1963,Old,0,49.86,1448088.62
Rural,2829.37,2086.66,1,4,2,Single-Family,1983,Renovated,0,56.97,2250264.93
Urban,1679.88,850.51,3,1,1,Apartment,2013,Good,1,9.93,1401020.39
Urban,564.23,340.69,2,1,1,Multi-Family,1972,Old,1,8.67,677966.21
Suburban,4136.83,3162.83,1,6,3,Apartment,1999,Renovated,1,20.0,3147657.04
Urban,1494.19,766.26,4,1,1,Single-Family,1963,Old,1,7.23,1227359.93
Rural,2175.17,1159.98,2,2,1,Apartment,1995,Renovated,1,44.89,1592045.29
Rural,3156.36,1948.61,1,3,2,Multi-Family,1954,Old,1,54.31,2261457.85
Urban,3934.47,3348.71,2,6,3,Multi-Family,2015,Good,0,6.92,3315276.88
Rural,2757.13,2222.12,1,4,2,Single-Family,1971,Old,1,36.1,2163906.65
Rural,1306.29,664.72,2,1,1,Apartment,2019,Good,1,54.29,925096.38
Urban,2198.65,1540.56,2,3,1,Multi-Family,1951,Old,0,3.14,1821240.48
Urban,1821.51,1110.89,2,2,1,Single-Family,1978,Renovated,1,3.3,1509623.13
Rural,2461.79,1869.63,1,3,1,Single-Family,2010,Good,0,46.03,1851869.4
Rural,3731.98,2943.12,2,5,2,Apartment,2020,New,1,33.5,3059007.82
Rural,37.39,31.6,1,1,1,Multi-Family,1965,Old,0,55.53,108420.92
Suburban,2088.61,1441.49,2,2,2,Apartment,2013,Good,0,10.43,1651333.35
Suburban,2015.95,1809.88,1,3,2,Apartment,1963,Old,1,17.63,1685514.78
Suburban,1243.24,1108.96,2,2,2,Apartment,1992,Renovated,1,28.65,1124780.09
Urban,3085.49,2631.51,2,5,2,Multi-Family,1992,Renovated,1,5.05,2567973.98
Suburban,1085.02,792.01,1,1,1,Single-Family,2019,Good,1,22.4,1084559.41
Urban,1200.11,791.12,4,1,1,Apartment,2004,Renovated,1,3.99,1200387.14
Urban,3351.07,2163.97,3,4,3,Apartment,1980,Renovated,1,0.13,2710977.14
Suburban,4000.57,2019.69,2,4,3,Multi-Family,2023,New,0,14.23,2791078.72
Suburban,2423.9,1453.54,2,2,2,Apartment,1989,Renovated,0,11.25,1874431.15
Suburban,1282.6,1010.08,1,2,1,Single-Family,1976,Renovated,1,13.8,1279099.96
Rural,1794.45,1330.5,1,2,2,Apartment,2001,Renovated,1,40.39,1426046.35
Suburban,3508.0,3039.92,1,6,3,Single-Family,1956,Old,1,20.4,2921246.11
Rural,2616.44,1360.57,2,2,2,Apartment,1995,Renovated,1,38.74,1976793.58
Urban,2398.96,1348.48,3,2,1,Apartment,1982,Renovated,0,8.84,1857021.67
Rural,2813.05,2294.6,1,4,2,Apartment,1957,Old,1,46.27,2290172.33
Suburban,2462.34,1584.28,2,3,1,Single-Family,1954,Old,1,11.9,1876279.62
Urban,4045.71,2214.37,4,4,2,Apartment,2010,Good,1,1.69,2938180.01
Urban,1750.86,1573.29,3,3,2,Apartment,2021,New,1,9.35,1701826.2
Urban,1636.04,1333.21,1,2,1,Apartment,2009,Good,1,4.55,1480954.9
Rural,1116.55,740.83,2,1,1,Single-Family,1973,Old,1,44.1,865704.76
Suburban,1960.01,1625.51,2,3,2,Apartment,1956,Old,1,13.32,1646188.2
Urban,1408.02,1087.33,1,2,2,Multi-Family,2010,Good,0,7.33,1337885.31
Urban,2718.08,2217.93,4,4,3,Single-Family,1985,Renovated,1,6.95,2369880.17
Urban,2520.95,2082.51,4,4,3,Multi-Family,1976,Renovated,1,3.76,2304070.53
Rural,1420.92,758.62,2,1,1,Apartment,1978,Renovated,1,42.15,1139817.41
Rural,3089.14,2314.35,2,4,3,Single-Family,1969,Old,1,47.82,2422650.34
Suburban,4016.81,2019.31,2,4,2,Single-Family,2019,Good,1,27.1,2880867.87
Rural,2857.84,1478.6,1,2,2,Apartment,1952,Old,0,33.2,2038896.04
Urban,43.5,37.48,4,1,1,Multi-Family,1988,Renovated,1,9.65,300660.86
Suburban,4487.13,3190.46,1,6,4,Single-Family,1994,Renovated,1,25.45,3560155.84
Urban,3246.92,2579.23,1,5,3,Single-Family,2017,Good,1,2.76,2754869.35
Urban,4456.42,3722.9,4,7,4,Single-Family,1980,Renovated,1,2.7,3747204.4
Rural,3590.72,3159.24,2,6,4,Single-Family,1987,Renovated,1,54.36,3051269.41
Suburban,3790.52,3213.38,2,6,3,Single-Family,1955,Old,1,27.79,3037510.45
Rural,2705.27,1875.63,1,3,2,Apartment,1957,Old,1,50.74,2135420.68
Rural,2237.7,1419.57,2,2,1,Single-Family,1977,Renovated,0,54.99,1730936.18
Suburban,2873.48,1614.31,1,3,1,Multi-Family,1964,Old,1,20.63,2109382.57
Urban,1791.21,1182.43,3,2,2,Single-Family,1957,Old,1,1.81,1520541.39
Urban,2933.88,1897.04,1,3,2,Apartment,2003,Renovated,1,0.34,2320806.76
Suburban,126.79,91.77,2,1,1,Apartment,1955,Old,1,20.19,243246.46
Urban,2542.93,1948.4,2,3,1,Multi-Family,1978,Renovated,1,9.88,2200074.88
Suburban,3844.68,3426.88,2,6,3,Single-Family,1983,Renovated,1,27.91,3161723.89
Suburban,2594.31,2053.02,2,4,2,Multi-Family,1956,Old,1,29.0,2141539.12
Rural,4227.48,3202.31,1,6,3,Multi-Family,1989,Renovated,1,35.51,3237874.29
Suburban,2236.25,1417.87,2,2,2,Multi-Family,2023,New,1,22.45,1781962.81
Rural,3502.65,1799.67,1,3,2,Multi-Family,1962,Old,1,51.88,2385202.36
Urban,1621.73,997.77,3,1,1,Single-Family,2011,Good,1,6.61,1392433.56
Urban,3461.96,2795.11,3,5,3,Apartment,2014,Good,1,8.15,2942908.69
Urban,2732.59,1590.66,3,3,1,Apartment,1990,Renovated,1,3.33,2186808.69
Urban,2280.25,1789.71,1,3,2,Single-Family,1991,Renovated,0,8.99,1937766.51
Rural,73.88,54.07,1,1,1,Multi-Family,2015,Good,1,56.55,303786.07
Urban,2245.62,1277.18,4,2,2,Single-Family,1960,Old,1,6.62,1746484.12
Suburban,2713.45,1640.69,2,3,2,Multi-Family,1999,Renovated,1,23.41,2126680.83
Suburban,3328.71,2325.18,2,4,2,Multi-Family,2020,New,1,11.01,2721366.93
Suburban,4060.95,2710.07,1,5,3,Single-Family,1984,Renovated,1,17.65,3103451.28
Rural,4535.03,3679.84,2,7,3,Single-Family,1969,Old,0,57.31,3567789.66
Urban,3746.27,2973.65,4,5,2,Multi-Family,1977,Renovated,1,0.54,2960789.74
Urban,1937.91,1414.34,3,2,2,Multi-Family,1986,Renovated,1,8.97,1736333.28
Urban,2195.2,1819.62,1,3,1,Multi-Family,1952,Old,0,6.73,1824791.56
Rural,3238.92,2348.44,1,4,3,Multi-Family,2008,Good,1,34.48,2625241.92
Suburban,3019.61,2674.64,2,5,3,Single-Family,2022,New,1,22.27,2619866.86
Suburban,4128.35,2422.89,1,4,2,Apartment,1976,Renovated,0,23.65,3053279.69
Urban,4979.39,3912.07,3,7,4,Apartment,1981,Renovated,0,8.73,3964771.69
Suburban,4767.18,3089.03,2,6,3,Multi-Family,1997,Renovated,1,28.45,3750107.51
Suburban,3993.94,2442.64,2,4,2,Apartment,1995,Renovated,1,20.82,2989358.1
Rural,3027.9,1732.43,1,3,2,Apartment,1996,Renovated,1,46.41,2328448.14
Rural,3849.33,2775.37,1,5,2,Apartment,1989,Renovated,1,39.62,2958190.31
Rural,4161.44,2439.39,2,4,3,Apartment,1952,Old,0,57.86,2932430.47
Rural,2352.7,1364.9,2,2,2,Apartment,1978,Renovated,0,54.55,1748090.87
Urban,1967.34,1763.16,4,3,1,Apartment,2007,Good,0,4.71,1836951.0
Rural,1732.58,1421.93,2,2,2,Multi-Family,1999,Renovated,1,30.55,1514211.1
Suburban,1623.62,1297.78,1,2,1,Multi-Family,1959,Old,1,27.28,1416132.76
Urban,1118.0,914.1,1,1,1,Multi-Family,2010,Good,1,2.02,1115241.2
Suburban,2749.9,2440.73,1,4,2,Single-Family,2010,Good,0,13.49,2384026.98
Suburban,1500.25,1094.15,1,2,1,Apartment,1972,Old,0,18.35,1255663.63
Suburban,1716.48,1009.46,2,2,2,Apartment,1955,Old,1,23.52,1357863.96
Rural,3201.26,2704.69,1,5,2,Single-Family,2009,Good,1,34.62,2622448.83
Rural,2681.61,2137.49,1,4,2,Apartment,1976,Renovated,1,30.18,2249721.31
Urban,2929.62,1950.32,3,3,1,Multi-Family,2004,Renovated,0,5.32,2232046.09
Urban,3865.15,2664.74,3,5,3,Multi-Family,1980,Renovated,1,2.63,3110194.13
Rural,3364.53,2235.73,1,4,3,Single-Family,1979,Renovated,1,53.0,2590618.95
Suburban,4018.89,3504.38,2,7,3,Multi-Family,2016,Good,1,29.18,3478443.91
Urban,2579.98,1644.51,1,3,2,Single-Family,1962,Old,0,2.1,1863798.31
Rural,4111.79,3640.55,1,7,4,Multi-Family,2008,Good,0,49.51,3296591.59
Rural,2859.74,2471.13,2,4,2,Apartment,2003,Renovated,1,45.0,2314627.1
Rural,2668.71,2007.43,2,4,2,Multi-Family,1970,Old,0,56.27,2027004.89
Suburban,3961.53,2899.56,2,5,3,Single-Family,1992,Renovated,1,27.78,3169370.08
Rural,1627.85,1054.9,2,2,2,Apartment,1960,Old,0,43.34,1172474.06
Rural,4523.6,2294.98,2,4,3,Single-Family,2016,Good,0,44.64,3118739.23
Rural,2217.9,1222.17,1,2,1,Apartment,1987,Renovated,1,53.47,1589598.19
Rural,1281.89,1027.68,2,2,2,Apartment,1973,Old,1,30.55,1084626.48
Urban,3153.5,2171.55,2,4,3,Multi-Family,2000,Renovated,0,1.69,2587363.87
Urban,2122.68,1188.56,1,2,2,Multi-Family,2010,Good,0,3.37,1715002.46
Rural,4525.81,2740.76,2,5,3,Apartment,1995,Renovated,1,56.56,3261295.18
Suburban,2067.1,1817.26,2,3,1,Multi-Family,1992,Renovated,1,26.38,1731497.27
Urban,2814.45,1820.54,1,3,1,Multi-Family,1976,Renovated,1,6.38,2262106.39
Rural,1074.41,927.29,2,1,1,Single-Family,1979,Renovated,1,47.35,924089.17
Urban,3312.91,2060.15,3,4,3,Multi-Family,2012,Good,1,7.2,2597525.59
Urban,1722.61,1235.61,1,2,1,Apartment,1959,Old,1,8.68,1465402.0
Suburban,3193.32,1622.82,2,3,2,Multi-Family,1952,Old,1,20.38,2353888.85
Rural,2071.65,1468.28,2,2,2,Apartment,2009,Good,1,57.42,1635209.48
Rural,453.07,341.97,2,1,1,Apartment,1976,Renovated,1,58.64,444307.42
Suburban,2631.19,1562.2,2,3,2,Single-Family,1994,Renovated,1,12.55,1982374.02
Suburban,2586.43,1892.17,2,3,2,Apartment,2011,Good,1,20.34,2077794.1
Rural,3381.07,2565.78,2,5,3,Apartment,1973,Old,1,53.62,2689299.51
Rural,4056.0,3142.4,1,6,3,Single-Family,1995,Renovated,1,51.93,3190129.08
Suburban,4412.41,3576.53,2,7,3,Apartment,1993,Renovated,1,14.35,3567237.68
Urban,3364.15,2101.03,4,4,2,Single-Family,2012,Good,1,7.83,2567260.36
Urban,2778.62,2020.36,1,4,2,Apartment,1953,Old,1,8.6,2224413.04
Suburban,1072.67,957.5,2,1,1,Multi-Family,1965,Old,1,13.8,1033490.22
Urban,2702.02,2321.73,1,4,2,Single-Family,2000,Renovated,0,6.65,2308373.47
Suburban,2714.94,2392.04,2,4,2,Single-Family,2023,New,1,17.15,2350633.4
Urban,2301.36,1506.14,4,3,1,Apartment,1997,Renovated,1,7.59,1901561.4
Urban,3132.97,2552.65,3,5,2,Single-Family,2014,Good,1,0.16,2699445.95
Rural,3621.91,2709.04,2,5,2,Apartment,2018,Good,1,56.99,2864872.22
Rural,1681.6,896.45,1,1,1,Single-Family,1994,Renovated,0,38.81,1206225.22
Urban,1666.02,1382.12,3,2,1,Single-Family,1952,Old,0,1.35,1456059.07
Urban,2360.71,1819.73,1,3,2,Multi-Family,1966,Old,0,7.52,1988872.3
Rural,1884.77,1092.35,1,2,2,Apartment,1986,Renovated,0,43.45,1291566.04
Rural,858.75,456.77,1,1,1,Multi-Family,1954,Old,1,34.31,697481.45
Rural,1503.41,1255.06,2,2,1,Single-Family,1996,Renovated,1,45.94,1315853.13
Suburban,1267.68,673.85,1,1,1,Apartment,1993,Renovated,1,17.08,1007816.77
Urban,3708.45,1989.74,3,3,1,Multi-Family,1982,Renovated,1,6.47,2669127.1
Rural,4202.83,2819.94,2,5,2,Single-Family,1970,Old,1,37.92,3194866.46
Urban,1404.57,778.02,4,1,1,Multi-Family,2016,Good,0,9.61,1136366.09
Suburban,3046.07,2636.28,2,5,2,Single-Family,2017,Good,1,25.76,2583944.25
Suburban,3373.52,2321.36,1,4,2,Single-Family,1981,Renovated,0,17.77,2614834.16
Rural,1007.73,733.29,2,1,1,Apartment,1973,Old,1,51.98,792375.8
Suburban,2660.98,2318.36,1,4,3,Apartment,1984,Renovated,1,22.47,2211003.31
Urban,5033.52,3584.4,2,7,4,Apartment,1967,Old,1,2.52,3949880.95
Rural,3177.15,2037.94,2,4,2,Single-Family,2016,Good,0,50.77,2294991.53
Urban,2254.7,1846.29,1,3,2,Multi-Family,2003,Renovated,1,0.97,2014478.77
Urban,1939.81,1313.52,4,2,1,Apartment,1975,Renovated,1,8.76,1627106.01
Suburban,477.54,299.6,1,1,1,Apartment,2009,Good,1,28.31,651868.57
Suburban,2970.47,2344.57,2,4,2,Apartment,2014,Good,1,22.69,2459405.21
Suburban,4447.82,3650.07,1,7,4,Apartment,2000,Renovated,0,12.94,3561735.99
Suburban,1686.46,1377.31,2,2,1,Single-Family,2009,Good,1,24.49,1523665.31
Suburban,564.42,502.94,2,1,1,Multi-Family,2008,Good,1,17.07,708323.85
Rural,1835.78,1495.55,1,2,2,Single-Family,1966,Old,1,54.63,1436995.56
Urban,3381.6,2732.24,2,5,3,Single-Family,1970,Old,1,0.12,2842011.65
Urban,2071.5,1746.26,3,3,1,Single-Family,2016,Good,0,3.52,1840100.89
Urban,1679.53,839.89,3,1,1,Apartment,1977,Renovated,1,3.03,1403605.58
Urban,2519.15,1624.78,3,3,1,Multi-Family,1993,Renovated,1,6.57,1977462.51
Suburban,2729.7,2170.22,1,4,2,Single-Family,2019,Good,1,24.89,2314517.44
Urban,1111.61,822.47,4,1,1,Single-Family,2011,Good,1,8.11,1099129.36
Rural,2282.72,1303.5,2,2,2,Single-Family,1991,Renovated,1,37.32,1691671.88
Rural,2002.73,1244.68,1,2,2,Apartment,1971,Old,1,57.26,1644772.62
